,Job Title,Client,Job Description,Location
20414,"Site Reliability Engineer, Big Data Analytics Platform",Experian,"Hands on experience supporting Spark with Python (PySpark) and R (SparklyR, SparkR) languages.",
20417,"Site Reliability Engineer, Big Data Analytics Platform",Experian,"Experience with at least one Infrastructure As Code tools/frameworks, preferably Terraform.",
20421,Pre Sales Engineer( Cloud focused),PROLIM Corporation,"Love to explore the latest cloud technology including but not limited to O365, Azure, AWS, GCP.","Plano, TX 75093"
20435,Cloud Infrastructure (DevOps) Engineer,Peer Solutions Group,"Develop, test, and release software solutions sidebyside with other talented engineers in a teamoriented, Agile software engineering environment","Plano, TX"
20439,Cloud Infrastructure (DevOps) Engineer,Peer Solutions Group,"Experience working with scripting and provisioning tools like Terraform, Ansible, or equivalent","Plano, TX"
20440,Cloud Infrastructure (DevOps) Engineer,Peer Solutions Group,"Understanding of modern software engineering patterns, including those used in highly scalable, distributed, and resilient systems","Plano, TX"
20441,Cloud Infrastructure (DevOps) Engineer,Peer Solutions Group,"Experience developing and delivering systems on at least one major public cloud platform: AWS, Azure, or equivalent","Plano, TX"
20442,Cloud Infrastructure (DevOps) Engineer,Peer Solutions Group,"Experience developing microservicesbased architectures, including distributed messaging patterns","Plano, TX"
20455,DevOps Reliability Engineer III,Charles Schwab,"Identify QA automation opportunities and develop automated build jobs using continuous integration platforms such as Bamboo, SALT supporting Blue/Green and Canary Deployments.",
20458,DevOps Reliability Engineer III,Charles Schwab,Develop and improve existing monitoring and alerting systems with a focus on proactive issue detection and automated recovery,
20459,DevOps Reliability Engineer III,Charles Schwab,"Knowledge and experience with: Windows, Linux, Cloud (PCF/AWS) and Mainframe operating systems; server administration skills,. Mainframe JCL and Cobol experience a plus.",
20461,DevOps Reliability Engineer III,Charles Schwab,"Building operational and business metric dashboards and reports. (Tableau, Remedy, Sharepoint integrations, etc.)",
20465,DevOps Engineer,Broadcom,"Promote and implement DevOps best practices in areas such as Source Control, Continuous Integration and Delivery, Monitoring and Logging, and Telemetry","Plano, TX"
20466,DevOps Engineer,Broadcom,Build and maintain a repository of DevOps best practices and process for internal reference,"Plano, TX"
20467,DevOps Engineer,Broadcom,"Experience building, configuring and running high availability, faulttolerant customer facing production systems in a public/private/hybrid cloud environment (Google Cloud Platform desired)","Plano, TX"
20468,DevOps Engineer,Broadcom,"Experience with orchestration technologies such as Kubernetes, OpenShift, and Docker Swarm","Plano, TX"
20469,DevOps Engineer,Broadcom,Strong knowledge and handson experience in setting up Kubernetes clusters on bare metal or using cloudhosted services (Google Kubernetes Service),"Plano, TX"
20470,DevOps Engineer,Broadcom,"Experience with automation of deployments, CI/CD pipelines, and automation scripts (Ansible preferred)","Plano, TX"
20471,DevOps Engineer,Broadcom,"Ability to design, implement and take technical ownership of CI/CD pipelines using Jenkins","Plano, TX"
20472,DevOps Engineer,Broadcom,Database management and administration especially with MongoDB and other NoSql databases,"Plano, TX"
20474,DevOps Engineer,Broadcom,Work experience in an Agile team environment is desired. Experience working in a Scaled Agile Framework (SAFe environment) is a plus,"Plano, TX"
20480,"Data Engineer Lead GCB Technology, Vice President",Citi,"Expertise in all aspects of technology by understanding broader patterns and techniques as they apply to Citi’s internal and external cloud platforms (AWS, PCF, Akamai)",
20481,Bigdata Developer,RecVue,Responsible for implementing highquality programs for large scale Spark distributed systems by loading and processing from disparate data sets using appropriate technologies including but not limited to those described in the skills section,"Dallas, TX"
20482,Bigdata Developer,RecVue,Develop custom batchoriented and realtime streaming data pipelines working within the Spark ecosystem,"Dallas, TX"
20483,Bigdata Developer,RecVue,"Work closely with a team of engineers, product managers to build new features our customers will love, adopt and use while keeping our trusted platform stable and scalable.","Dallas, TX"
20486,Data Architect,eLogic LLC,"Ability to articulate the technical solution to a business problem with SQL Server, SSIS and SSRS as the technology stack.","Dallas, TX"
20487,Data Architect,eLogic LLC," Cloud technology experience, preferably Azure technology platform (preferably in ADF, Azure SQL, PowerApps)","Dallas, TX"
20496,Senior DevOps Analyst,NCR,The Senior DevOps Analyst plays an operational role by troubleshooting issues in development systems and is also responsible for contributing to the architecture and technical leadership of the entire Automation infrastructure.,
20498,Senior DevOps Analyst,NCR,"Tasked with the creation of software deployment strategies that allow Senior DevOps engineers to successfully deploy sites/software in any environment. Also responsible for the updating of configuration management tools, code, and modules for the purpose of streamlining implementation and supportability.",
20499,Senior DevOps Analyst,NCR,"Creation of solutions for managing and ingesting large numbers of documents in real time, enabling prompt search and analysis. Also implements monitoring solutions that identify both system bottlenecks and production issues. The Senior DevOps Analyst further identifies and implements data storage schemas such as clustering in order to maximize performance.",
20515,Sr. Software Engineer  Enterprise Data Engineering (VP),JPMorgan Chase,"Develop highavailable and highscalable system using Caching, Elastic Search, Kafka etc.",
20520,Sr. Cloud Security Engineer,Toyota Connected,Design model and detailed security control framework for all aspects of TC's Infrastructure (AWS & Azure),"Plano, TX 75024"
20533,Sr. Cloud Security Engineer,Toyota Connected,Free covered garage parking to shield your vehicle from those sneaky storms and to protect your buns from the Texas sun.,"Plano, TX 75024"
20538,DevOps Engineer,Intelligent Automation,"Experience operating and managing Configuration Management and Build Tools (e.g., Maven, Jenkins and/or Travis, GitLab / GitHub)",
20540,DevOps Engineer,Intelligent Automation,"Experience in hybrid cloud deployment tools like Terraform, use of cli for cloud providers (AWS, Digital Ocean, VMWare)",
20543,Data Engineer,GalaxE.Solutions,"Experience with the following: Python, Hadoop, Hive, and Spark (either Pyspark or Scala)","Hartford, CT 06103"
20545,HADOOP DATA ENGINEER,EMIDS,Collaborates with other data teams to transform data and integrate algorithms and models into automated processes.,"Hartford, CT"
20548,HADOOP DATA ENGINEER,EMIDS,Has strong knowledge of large scale search applications and building high volume data pipelines.,"Hartford, CT"
20554,Big Data Software Engineer (Partial Remote),The Jackson Laboratory,Experience with a variety of database management systems beyond relational databases,
20556,Data Engineer,Autoweb Inc,Proficient understanding of Data Store technologies like Relational Databases and NoSQL but not limited to those.,"Brimfield, MA 01010"
20560,Data Engineer  Claims Data Science,The Hartford,Create data assets and build data pipelines for further analytical consumption. Perform data analysis to ensure quality of data assets.,
20569,Data Engineer  Claims Data Science,The Hartford,"Experience accessing and retrieving data from disparate large data sources, by creating and tuning SQL queries.",
20609,"Analytics Manager, Decision Analytics Services  Healthcare (Data Engineer)",EXL Service,Build analytics tools that utilize the data pipeline to provide actionable insights into key business performance metrics,"Hartford, CT 06103"
20611,"Analytics Manager, Decision Analytics Services  Healthcare (Data Engineer)",EXL Service,Experience with source code control systems (GIT) and CI/CD process (Jenkinks/Team City/Octopus),"Hartford, CT 06103"
20613,"Analytics Manager, Decision Analytics Services  Healthcare (Data Engineer)",EXL Service,"Experience with Agile development methodologies and tools to iterate quickly on product changes, developing user stories and working through backlog","Hartford, CT 06103"
20623,Applied Data Science Intern (Summer 2021),Raytheon,"Develop tools to automate cleansing, manipulation, and analysis of large data sets using languages such as Python, SQL.",
20630,Senior Data Engineer,CVS Health,Collaborates with International data/reporting and business teams to transform data and integrate algorithms and models into automated processes.,
20631,Senior Data Engineer,CVS Health,Uses knowledge in data transformation and storage experience designing & optimizing queries to build data pipelines.,
20632,Senior Data Engineer,CVS Health,"Uses strong programming skills in SAS, Python, Java or any of the major languages to build robust data pipelines and dynamic systems.",
20641,Software Engineer / Analytics Developer (AWS / Hadoop / HiveQL / Ab Initio ),Travelers Sponsored,"Design, implement and deploy custom applications on Hadoop using Python / PySpark.",
20642,Software Engineer / Analytics Developer (AWS / Hadoop / HiveQL / Ab Initio ),Travelers Sponsored,"AWS/Public Cloud and Big Data /Hadoop experience:Experience with Kubernetes, Docker.Experience within Hortonworks Hadoop ecosystems.",
20647,Senior Machine Learning Engineer  Data Science,The Hartford,"Create summary statistics/reports from data warehouses, marts, and operational data stores to establish testing criteria and create model training and validation data sets.",
20677,Sr Cloud DataOps Engineer,The Hartford,"Work with various service teams in EDO to design and build an endendend DevOps pipeline using a flavor of technologies, covering AWS & SaaS platforms and services, focused on Data pipeline related capabilities",
20678,Sr Cloud DataOps Engineer,The Hartford,Designing reusable architectures and services that can be leveraged by agile teams to improve development velocity.,
20679,Sr Cloud DataOps Engineer,The Hartford,"Designing and engineering cloud automation best practices around charge back models, developer authorization, security controls, and continuous integration/deployment (CI/CD) pipelines for code promotion",
20693,Full Stack Software Engineer  AWS,GalaxE.Solutions,"Knowledge and experience with Jenkins, Cloudbees, and/or Please Build (Cloudbees most strongly desired)","Hartford, CT 06103"
20694,Full Stack Software Engineer  AWS,GalaxE.Solutions,"Understanding of Terraform and infrastructure versioning (if no Terraform experience, should have CloudFormation)","Hartford, CT 06103"
20716,Cloud Solution Architect,Bombardier,"Understand LOB overall applications portfolio, IT and business priorities and success criteria to design cloud data solutions using PaaS, DevOps & Advanced Application coding","Hartford, CT"
20718,Cloud Solution Architect,Bombardier,You have experience with data lake implementation in a cloud environment and driving selfservice data analytics platform,"Hartford, CT"
20719,Cloud Solution Architect,Bombardier,"You have knowledge of web and mobile application architecture, microservice architecture and data architecture spanning conventional relational database systems, NOSQL database and data repositories and pipelines for analytics.","Hartford, CT"
20735,Logistics Data Engineer,Lineage Logistics,Indepth data analysis utilizing data from our TMS system and SQL server data warehouse including detailed analysis of costs along with opportunity identification and implementation,
20738,Logistics Data Engineer,Lineage Logistics,Operationalize and automate route designs and consolidations across the North America network utilizing our TMS software tools supporting our centralized freight management team,
20740,Data Engineer,Lineage Logistics,"Assist with the creation, modification, and tuning of queries against enterprise data assets including a Clouderabased data lake and a RDBMSbased operational data store",
20741,Data Engineer,Lineage Logistics,Support the automation of data quality checks and seek to investigate and resolve related issues by debugging all aspects of the data pipeline and correcting problematic data,
20742,Data Engineer,Lineage Logistics,Validate changes to data pipelines including supporting the code promotion flow from nonproduction to production environments,
20795,Cloud Services Engineer,Worksighted,Deploying Microsoft cloud systems including: Azure Active Directory solutions and Endpoint Manager – MDM/MAM.,"Wixom, MI"
20842,Senior Data Engineer,Koddi,"You’ve got experience working with Relational Databases such as MS SQL Server, Postgres, MySQL","Ann Arbor, MI 48108"
20843,Senior Data Engineer,Koddi,You have extensive experience working within distributed architectures and building horizontally scalable infrastructure,"Ann Arbor, MI 48108"
20847,Software Engineer: Software & Data Infrastructure Team,May Mobility,"Design, manage, and scale our realtime and historical data pipelines to enable our fleet to operate and facilitate continuous development of our system","Ann Arbor, MI"
20850,Software Engineer: Software & Data Infrastructure Team,May Mobility,"Write high performance, generic libraries to make our onvehicle autonomy software as fast and scalable as possible","Ann Arbor, MI"
20851,Software Engineer: Software & Data Infrastructure Team,May Mobility,Experience building and managing largescale dataprocessing pipelines in a cloud environment,"Ann Arbor, MI"
20853,"Director, Data Science","Alteryx, Inc.",Develop and deliver training curriculum on data science leveraging Alteryx and other tools (e.g. Tableau),"Ann Arbor, MI"
20856,Data Engineer,Groundspeed,"Write reliable, scalable, maintainable software primarily using JavaScript (though we use other languages as well)","Ann Arbor, MI"
20861,Data Engineer,Groundspeed,Knowledge of agile software development and continuous integration / deployment principles,"Ann Arbor, MI"
20871,Data Engineer,"Alteryx, Inc.",Deep interest in the data and analytics market with ability to constantly evaluate new ways to enhance the telemetry system and train it to be smarter and more scalable,"Ann Arbor, MI"
20877,"Software Engineer, Data Infrastructure, Weather",Waymo,"Work on the weather data pipeline, where you’ll learn the nittygritty details of the infrastructure.","Ann Arbor, MI"
20882,Associate Data Engineer,ArborMetrix,"Monitoring operational ETL processes, triaging and resolving issues as they arise to meet SLAs","Ann Arbor, MI 48104"
20883,Associate Data Engineer,ArborMetrix,Writing PL/SQL functions and packages to automate workflows in a Postgres environment linked with web technologies,"Ann Arbor, MI 48104"
20885,Associate Data Engineer,ArborMetrix,"Understanding of relational databases, data modeling / architecture, and SQL query design / optimization","Ann Arbor, MI 48104"
20886,Associate Data Engineer,ArborMetrix,"Knowledge of SQL as well as proficiency in at least one scripting language (e.g. JavaScript, Python, Linux shell script)","Ann Arbor, MI 48104"
20888,Associate Data Engineer,ArborMetrix,"Prior experience in using data integration / ETL tools to construct productionquality, realtime interfaces","Ann Arbor, MI 48104"
20894,Senior Data Engineer,ArborMetrix,"Extensive experience in using data integration / ETL tools to construct productionquality, realtime interfaces","Ann Arbor, MI 48104"
20895,Senior Data Engineer,ArborMetrix,"Deep understanding of relational databases, data modeling / architecture, and SQL query design / optimization","Ann Arbor, MI 48104"
20896,Senior Data Engineer,ArborMetrix,"Expertise in SQL as well as proficiency in at least one scripting language (e.g. JavaScript, Python, Linux shell script)","Ann Arbor, MI 48104"
20906,Sr. Data Scientist,"Alteryx, Inc.",Create and deliver training curriculum on data science leveraging Alteryx and other tools (e.g. Tableau),"Ann Arbor, MI"
20909,Big Data  Senior Software Engineer,KLATencor,"Experience with Cloud technologies for scaling like Linux containers, Kubernetes, Virtual Machines etc. a plus",
20910,Senior Software Engineer: Software & Data Infrastructure Team,May Mobility,"Lead design, manage, and scale our realtime and historical data pipelines to enable our fleet to operate and facilitate continuous development of our system","Ann Arbor, MI"
20919,Cloud Solutions Engineer,RightBrain Networks LLC,Extensive experience supporting webbased applications built on IIS and SQL Server.,"Ann Arbor, MI 48108"
20920,Cloud Solutions Engineer,RightBrain Networks LLC,"For Linux focused candidates:Experience implementing and supporting Apache or Nginx, and relational databases systems (Postgres, MySQL)Familiarity with RHELbased distros and packagesThe ability to get things done with Python","Ann Arbor, MI 48108"
20921,Cloud Solutions Engineer,RightBrain Networks LLC,"Experience implementing and supporting Apache or Nginx, and relational databases systems (Postgres, MySQL)","Ann Arbor, MI 48108"
20931,Senior DevOps Engineer,ArborMetrix,Experience with containerization (Docker) and container orchestration (Kubernetes),"Ann Arbor, MI 48104"
20932,Senior DevOps Engineer,ArborMetrix,"Experience with Kubernetes associated technologies (Helm, Ambassador, Istio, etc.)","Ann Arbor, MI 48104"
20937,Graph Data Engineer / Analyst,ASR ANALYTICS LLC,"Build extract, transform, and load (ETL) pipelines to create Neo4j graph databases","Potomac, MD 20854"
20940,Data Engineer,ICF,"Extract, transform, and load (ETL) processing routines and data feeds to transmit data to and from clients and subcontractors",
20942,Data Engineer,ICF,"Understand ETL concepts of data flow, data enrichment, data consolidation, change data capture and transformation",
20945,Data Engineer,ICF,"Knowledge of Big Data integration tools such as Storm, and Spark, AWS Kinesis, Kafka a plus",
20960,Data Engineer,Chenega Corporation,"Write or create stored procedures, SQL scripts, SSIS packages that can be used to:",
20961,Data Engineer,Chenega Corporation,The environment currently supports hundreds of related ETL jobs that move data between 30 different source systems and between multiple classifications.,
20962,Data Engineer,Chenega Corporation,Part of the challenge as a data engineer will be to find scalable and efficient coding solutions that plug into this extensible system in order to add more data to the Enterprise data store.,
20963,Data Engineer,Chenega Corporation,"The existing data warehouse is built on Microsoft SQL hosted on Amazon Web Services (AWS), so experience developing solutions that scale well in these environments is a plus.",
20970,Data Engineer,Boeing,"Write code on a data extract, transform and load (ETL) platform to ingest and transform data to a suitable formats",
20971,Data Engineer,Boeing,Add features to ETL platform to shorten timelines for future data integration efforts,
20973,Data Engineer,Boeing,"Participate in daily scrum meetings, sprint retrospectives, and other agile processes",
21004,Data Engineer  Senior (CTD),Jacobs,"Demonstrate a high level of proficiency in SQL, Python, and doing development work in a services  oriented architecture.",
21049,Data Center Project Engineer (Critical Infrastructure),Amazon.com,"Significant experience successfully delivering results in a fast paced, dynamic environment.",
21109,Senior Data Engineer,IVYSYS TECHNOLOGIES LLC,Build data pipelines that enable data scientists and engineers and other stakeholders.,"Arlington, VA 22203"
21110,Senior Data Engineer,IVYSYS TECHNOLOGIES LLC,Experience building data pipelines in ML frameworks. KubeFlow experience is desired.,"Arlington, VA 22203"
21125,Data Analyst/ETL Developer,Spin Systems,"Working experience with some of the following: PowerBI, Tableau, and other reporting and analytical tools is a plus.","Falls Church, VA 22042"
21162,"Senior Associate, Cloud Engineer",Publicis Sapient,"Experience designing and implementing cloudbased solutions on Azure, AWS, or similar cloud platforms","Arlington, VA"
21163,"Senior Associate, Cloud Engineer",Publicis Sapient,"Past experience creating or maintaining data pipelines using Azure services such as Data Factory, Data Lake, Synapse","Arlington, VA"
21164,"Senior Associate, Cloud Engineer",Publicis Sapient,"Past experience creating or maintaining custom reports and dashboards using PowerBI, Tableau, or similar COTS product","Arlington, VA"
21167,Database Engineer,Koch,"Strong understanding of relational database concepts, knowledgeable on NoSQL technologies such as ElasticSearch and Redshift","Arlington, VA 22201"
21193,Data Engineer,Ops Tech Alliance," Experience running, enhancing, and significantly upgrading and modifying Hadoop and Clouderabased environments for support to a wide variety of querying approaches","Springfield, VA"
21221,Cloud Engineer (Open to Sponsorship),Technology Ventures,"Handson experience of AWS architecture design, Data Management, System to System Data Integration","McLean, VA 22102"
21225,Database Engineer,VIDIZMO LLC,"Securing and ensuring the persistence layer is scalable, elastic and can support millions of concurrent transactions","McLean, VA 22102"
21227,Database Engineer,VIDIZMO LLC,"Follow and enforce SCRUM/Agile practices as well as work with Product Manager, maintaining product and spring backlog","McLean, VA 22102"
21228,Database Engineer,VIDIZMO LLC,"Must have worked with at least one Relational DBMS such as SQL Server, Azure SQL or Oracle","McLean, VA 22102"
21269,Big Data Engineer,Research Innovations Inc,Worked with NoSQL databases and distributed indexing systems (Elasticsearch or SOLR),"Alexandria, VA"
21270,Big Data Engineer,Research Innovations Inc,Developed scalable ingest/ETL pipelines using distributed messaging systems (such as Kafka or AMQP solutions),"Alexandria, VA"
21273,Big Data Engineer,Research Innovations Inc,"Experience in Linux administration, and in runtime configuration management and automated deployment (using tools such as Puppet and Ansible)","Alexandria, VA"
21274,Big Data Engineer,Research Innovations Inc,Experience with Agile Methodologies and supporting technologies enabled by Atlassian products,"Alexandria, VA"
21275,Big Data Engineer,Research Innovations Inc,"Experience with the BigTable family of columnar stores (HBase, Cassandra, Accumulo)","Alexandria, VA"
21279,DevOps/Software Engineer,ECS Federal LLC,"The candidate will create custom Docker Images, Kubernetes YAMLs, and Helm Charts.","Fairfax, VA 22031"
21280,DevOps/Software Engineer,ECS Federal LLC,The work is performed in a multidisciplinary team environment in an agile project framework.,"Fairfax, VA 22031"
21282,DevOps/Software Engineer,ECS Federal LLC,"Proven capability creating custom Docker Images, Kubernetes YAMLs, and Helm Charts","Fairfax, VA 22031"
21311,Senior DevOps Engineer (Remote),Cognizance Technologies,Work in collaboration with architects to represent DevOps during the design and development of software or extensive revisions to existing applications.,"Washington, DC"
21318,Data Engineer  TS/SCI w/Poly,Leidos,"This role supports objectives and tasks by leveraging numerous tools, techniques and infrastructures to include Elasticsearch, Spark, and AWS/S3",
21319,Data Engineer  TS/SCI w/Poly,Leidos,"Responsible for building, orchestrating and running data migrations across different datastores/databases and environments, for example, data migration from an onpremises Elasticsearch cluster to a cloud hosted Elasticsearch cluster.",
21321,Data Engineer  TS/SCI w/Poly,Leidos,"Handson experience with Python, Java and data processing, manipulation or querying (SQL or NoSQL)",
21322,Data Engineer  TS/SCI w/Poly,Leidos,"Handson experience with Spark/PySpark, MapReduce or other large scale distributed processing frameworks.",
21339,AWS Engineer,Spin Systems,"Experience with Amazon Web Services administration, or significant experience with another major public cloud provider","Falls Church, VA 22042"
21341,AWS Engineer,Spin Systems,"Experience configuring and/or utilizing monitoring/logging solutions for operations such as Cloud Watch, Collectd, logstash, or Kafka.","Falls Church, VA 22042"
21353,Senior DevOps Engineer,Capital One,"Work with cloud native stack, build on AWS, usw technologies like Kubernetes and Serverless",
21365,Principal Data Engineer,REI Systems,Work with and through both functional and technical project team members to deliver products in an agile manner,"Sterling, VA 20166"
21375,Data Engineer,Boeing Intelligence & Analytics,Write code on ETL platform to transform data to a suitable formats as defined by IC ITE initiatives.,
21376,Data Engineer,Boeing Intelligence & Analytics,Add features to ETL platform to shorten timelines for future data integration efforts.,
21378,Data Engineer,Boeing Intelligence & Analytics,"Participate in daily scum meetings, sprint retrospectives, and other agile processes.",
21425,Cloud Engineer,Cubic Corporation,"Conducts world class SaaS/PaaS platforms and services for data streaming use cases requiring high performance, scalability and availability.",
21435,Cloud Engineer,Cubic Corporation,"Experience with SQL/NoSQL databases, Spark, Hadoop, or other distributed frameworks.",
21436,Cloud Engineer,Cubic Corporation,Deep knowledge of containerization platforms like Docker and their role in a microservices distributed cloud architecture .,
21437,Cloud Engineer,Cubic Corporation,"Experience with building, deploying and maintaining microservices and applications on Kubernetes.",
21438,Cloud Engineer,Cubic Corporation,"Experience with iterative development life cycle methodologies and application of those principles, especially Agile development practices.",
21441,Cloud Engineer,Cubic Corporation,Strong experience in developing highly available and scalable services using eventdriven reactive architecture to provide realtime services and ML models.,
21442,Senior DevOps Engineer,Cubic Corporation,Support the continuous improvement initiatives of the organization through focused automation activities aimed at the continued build out of our CI/CD pipelines to VMware and cloud environments.,
21443,Senior DevOps Engineer,Cubic Corporation,"Must work with GitLab, JIRA, Slack, and other collaboration tools as part of the CI/CD pipeline.",
21462,SecDevOps Engineer,Raytheon,"Experience maintaining and enhancing infrastructure as code with technologies including but not limited to cloud formation, terraform, puppet, codedeploy.",
21471,System Engineer/ Data Management,Armatus Solutions,"Demonstrating knowledge and experience in data lakes with cloud systems (AWS, MS Azure, etc.) usage such as collecting and storing data information, and securing as well as others.","Chantilly, VA"
21475,System Engineer/ Data Management,Armatus Solutions,Demonstrate experience in building Data Lakes (Visualization and Data Lake – VANDL).,"Chantilly, VA"
21487,System Engineer/ Data Management,Armatus Solutions,Project Engineering / Technical Task Lead & Agile SE&I (SAFe implementation) skills/experience,"Chantilly, VA"
21493,Data Engineer,Novetta,Experience preparing data for predictive and prescriptive modeling; uses data to discover tasks that can be automated; delivers updates to stakeholders based on analytics.,"Springfield, VA 22150"
21503,Automotive Business Data Quality Engineer,Bertrandt,Work crossfunctional to define and automate data quality measurement and assurance process,
21513,Automotive Business Data Quality Engineer,Bertrandt,"Understanding of both batch and stream processes and tools e.g. Kafka, ETLs, SFTPs, APIs",
21528,Test & DevOps Engineer,Logistics Management Institute,"Must have an “automate everything possible” mindset, no “point and click to configure” need apply","Tysons, VA"
21529,Test & DevOps Engineer,Logistics Management Institute,Experience and expertise in Infrastructure as Code (IaC) development with Cloud Formation templates (AWS),"Tysons, VA"
21531,Test & DevOps Engineer,Logistics Management Institute,Experience with DevOps and Agile engineering practices and being an infrastructure team member on a DevOps or Agile team,"Tysons, VA"
21532,Test & DevOps Engineer,Logistics Management Institute,"Experience with continuous integration/continuous deployment (CI/CD) tools, services and methodologies","Tysons, VA"
21540,"Business Intelligence Engineer/Analyst, Data Solutions",IntApp,Collaborate with cross functional team to build data pipelines that will ingest data into the data lake & build curated layer that integrate data in Intapp’s data warehouse.,"Charlotte, NC"
21543,"Business Intelligence Engineer/Analyst, Data Solutions",IntApp,"You will be working hands on in SQL, python to build out the curated data layer that is performant, reliable and robust to provide business insights.","Charlotte, NC"
21546,"Business Intelligence Engineer/Analyst, Data Solutions",IntApp,"Expert working knowledge of AWS stack Redshift, Athena, PostGresSQL, AuroraDB etc","Charlotte, NC"
21554,Cloud Data Operations Engineer,TekPartners,"Handson skills in architecting and implementing end to end automation of a CI/CD pipeline especially the last mile for full deployment / release automation with logging, monitoring, alerting, and autoscaling",
21557,Cloud Data Operations Engineer,TekPartners,Experience with helping testing teams shift left in quality via automated continuous testing practice,
21595,Lead Data Architect,Honeywell,"Experience bringing prototypes to production on NoSQL platforms, Time series or Graph databases",
21657,Cloud Engineer,MUFG,"You will work closely with Enterprise Architecture to select, design, develop and implement optimized solutions and practices and be responsible for production readiness and all operational aspects of the new cloud AWS infrastructure and services that will support mission critical MUFG applications",
21659,Cloud Engineer,MUFG,"You will lead the migration, refactor and transformation of existing applications and infrastructure services from physical data centers to AWS",
21665,Cloud Engineer,MUFG,"Have experience with AWS configuration, deployment and support experiences in a Production environment, for example:",
21721,Senior Architect  Salesforce Communities and Marketing Cloud,AmeriSourceBergen,Fluent in Apex. Extensive experience developing custom Apex Classes and Apex Triggers,
21722,Senior Architect  Salesforce Communities and Marketing Cloud,AmeriSourceBergen,Fluent in Salesforce Query and Search Language (SoQL and SoSL). Must be able to speak to limitations of languages and differences between SoQL and SQL.,
21733,Data Engineering Analyst,Country Financial,"Develops Data Pipelines for dashboard development, machine learning models and exploratory data analysis.",
21736,Data Engineer,Gradient AI,"Contribute to production operations, data pipelines, workflow management, and reliability engineering","Boston, MA 02210"
21751,Data Engineer,"H2B Consulting, Inc.",Translate business requirements into data warehouse pipelines using ETL/ELT methodologies,"Foxborough, MA"
21753,"Data Engineer, Specialized Sales",Wayfair,"Build, schedule, and manage data movement from application origin through batch and streaming systems to make it available for key business decisions.",
21759,"Data Engineer, Specialized Sales",Wayfair,"Experience with one or more higherlevel JVMbased data processing tools such as Beam, Dataflow, Spark or Flink.",
21760,"Data Engineer, Specialized Sales",Wayfair,"Prior projects working with optimizing storage and access of high volume heterogeneous data with distributed systems such as Hadoop, including familiarity with various data storage mediums and the tradeoffs of each",
21767,Priority Period  Data Solutions Engineer Intern  Summer 2021,Wayfair,"Excited about working with terabyte sized data sets to design scalable, robust analytic solutions",
21802,Senior Data Engineer,Boston Children's Hospital,"Collaborating with partners to understand needs, model tables using data warehouse standard methodologies, and develop data pipelines to transform and load large healthcare datasets.",
21805,Senior Data Engineer,Boston Children's Hospital,"Experience building data infrastructure in the cloud (eg. AWS, Google Cloud, Azure).",
21806,Senior Data Engineer,Boston Children's Hospital,"Practical experience with Python and SQL including ability to write, analyze, and debug SQL.",
21808,Senior Data Engineer,Boston Children's Hospital,"Strong background in distributed data processing and software engineering, can build highquality, scalable data products.",
21863,Clinical Data Scientist,EQRX,You’ve worked with data scientists and software engineers to put code into production – you think about scalable ways to improve the reach of your work.,
21877,"Principal Software Engineer, Integration and Data",Pegasystems,"Knowledge of pipeline development technologies (Git/Gradle, Jenkins, Sonar, jUnit)",
21883,Data Engineer,OneGlobe LLC,"High proficiency in SQL to include schema design, data definition, and advanced queries.",
21889,"Data Engineer, Senior",Booz Allen Hamilton,"Experience developing data ingest workflows with streamprocessing systems, including SparkStreaming, Kafka Streams, or Flink",
22034,Cloud Infrastructure Engineer,C Space,Working knowledge of Azure with experience building a high availability infrastructure,"Boston, MA 02210"
22035,Cloud Infrastructure Engineer,C Space,"Heavy automation experience that adheres to software development disciplines with strong knowledge of PowerShell. A desire to ""automate everything"" is the right attitude.","Boston, MA 02210"
22036,Cloud Infrastructure Engineer,C Space,"In conjunction with a desire to ""automate everything"", the perfect candidate has a desire to ""document everything""","Boston, MA 02210"
22067,SQL Server DBA / DevOps Engineer,Glance Networks Inc,"Expert SQLServer knowledge, including high availability and disaster recovery. AlwaysOn Availability Groups, query optimization, index development","Wakefield, MA 01880"
22141,Senior AWS Cloud Engineer,Quickpivot Corporation,Establish best practices associated with Unit Level testing and the incorporation of CI/CD principles into the Software Development Life Cycle (SDLC),"Burlington, MA 01803"
22145,Senior AWS Cloud Engineer,Quickpivot Corporation,Assist in development and implementation of security best practices and initiatives at all levels of the cloud infrastructure using Infrastructure as Code (IaC) best practices in an AWS environment,"Burlington, MA 01803"
22146,Senior AWS Cloud Engineer,Quickpivot Corporation,Establish best coding practices to minimize code refactoring for Cloud agnostic development in both Azure and AWS,"Burlington, MA 01803"
22147,Data Engineer  Junior Associate,Home Partners of America Inc,Assist in the maintenance and implementation of the ETL processes (SQL and Python).,"Chicago, IL 60606"
22152,Data Engineer  Junior Associate,Home Partners of America Inc,"Bonus: AWS experience and experience in writing SQL stored procedures, functions, views, and scheduled jobs.","Chicago, IL 60606"
22166,Sr. Data Engineer,Allstate,"Design and implement scalable data workflows and pipelines, and integrate diverse data sources and sinks",
22168,Sr. Data Engineer,Allstate,Implement data transforms and organization for various data stores (data lakes and warehouses),
22175,Sr. Data Engineer,Allstate,"Big Data Engineering  Experience in building scalable data pipelines involving machine learning, optimization or prediction",
